,heating,cooling,fans,heat_recovery,heat_rejection,interior_equipment,refrigeration,pumps,water_systems
171,17.379954990178565,11188.658890216873,15551.741263338059,4.734217376313741e-16,70.7611146683923,18295.336056007578,295.25106915358236,703.7938688631383,8535.01960290599
172,0.10437976621373514,17350.339498546404,12018.658285943528,4.862095337542311e-16,106.2813505752858,16197.901802131319,264.916650381313,595.9703898988807,6470.747899089566
173,0.4339312722715497,19080.37544249734,11327.87124752601,4.624508477701577e-16,74.66268217266312,13095.561655789774,269.468098246106,553.3601444766085,5943.595419101025
174,3.1309791881986397,18356.770105457395,14534.254711391077,3.7740085604674395e-16,95.52983127932289,16673.21404197564,313.88818040771577,695.9813206801542,7107.919882898988
175,13.272350741330412,15037.745073213719,14836.141092861799,4.611709649745506e-16,122.82884889196689,19305.724604521154,279.77417179701354,699.6474355974304,7807.2156346099655
176,13.787805853755623,14416.477458462563,15225.53129588412,5.29414023859639e-16,88.31554320923178,19771.723428519894,286.7593116228471,723.7643622090377,8027.205802234288
177,21.969758572515552,9164.103617571862,12166.554456322456,4.821877797546197e-16,56.400233045853206,16070.142861479817,230.1690698040137,568.7245305546994,6494.8093347959975
178,855.5746299195233,853.3363740372711,6758.843988470159,4.3162294906316576e-16,8.106373867335664,4414.843607504792,25.397821117789796,311.8523479338816,520.3435495184058
179,775.4315118456799,1360.0704388565123,8967.882881871152,3.9181738341499336e-16,9.126884608929148,5791.901391352708,151.03248114872426,396.1576697789852,771.8858943568675
180,2.2222676478877013,18890.607370559577,13236.50968799112,4.2414760089633693e-16,86.37479143876182,14673.11649369651,294.48293261145454,635.8460570991307,6432.753502529357
181,25.344571736242695,9519.783801141479,13000.275945384692,4.838698178508387e-16,74.41642710409776,14432.813968384173,251.8075789461672,593.3938966383254,5997.055993367133
182,14.12660409150802,9192.467204952147,10038.445714242709,4.727534065641129e-16,78.84790075056023,13247.714620727991,189.6211519528928,474.90294482988736,5390.350907774789
183,9.502515124466866,13888.190386686083,13004.720579867217,5.189186832303171e-16,108.62079475332695,16931.341802432,245.99882815999308,623.5697078007366,6816.504202178739
