day_of_year,heating,cooling,fans,heat_recovery,heat_rejection,interior_lighting,exterior_lighting,interior_equipment,refrigeration,pumps,water_systems,time_of_shift,date
220,105.22443567671735,4763.893593515604,12774.270002598552,5.79857755195806e-16,46.37469479565314,50.439804150626934,32.74166796479008,124.8825613778129,-1.0118025106748974e-06,6.935485384866761,19.08619835574929,50,2018-08-09
221,137.54719431713573,147.04751664404435,1149.3041475915347,2.5056742211318607e-16,1.9469728709724918,90.95873460824328,45.838595453150354,191.26626108488156,1.1226596018332201e-06,10.085856409261371,28.80490306794579,50,2018-08-10
222,3.967860843737776,2412.974478714821,2224.482866454527,2.439745530727575e-16,15.548042135789624,906.1082993276743,3.056876657018482e-08,1791.8876129501853,-9.968494892422086e-05,93.56380047952541,808.4987429359004,50,2018-08-11
223,1.8830999582662284,992.6847944463311,1019.9910106950533,1.571325964902539e-16,7.0785600799522985,-0.00016134352840435894,-0.00011097263222836773,-0.0001723628889376414,1.5311171637222286e-08,-2.264448458993229e-05,-8.501841764518758e-05,50,2018-08-12
224,9.210819107032137,3381.0432908355356,3946.1064666288357,2.502983174348733e-16,29.553417901057383,1069.8303595491982,2.1919114997518024e-08,1553.3339578233738,6.429956233200044,56.16823969706092,627.5535517948919,50,2018-08-13
225,571.0244802115637,4007.621043150909,17065.17415033818,7.184354810110909e-16,66.03707651503392,63.427117730109764,42.56455634419622,150.48544353129662,-1.6030950374101849e-06,8.819109590283155,19.12736878213885,50,2018-08-14
226,603.8144637277917,3851.1609912342506,18453.299156186058,7.742507392070677e-16,73.3881796671682,4627.616705736351,3248.0049889860024,10911.477516622437,50.8773127518142,677.1361053941325,1387.1694994049135,50,2018-08-15
227,664.073944792249,3429.400817985081,18383.969176972223,7.229467837957451e-16,60.06343132247551,4312.795233459186,3241.456647956692,10736.57589361934,-8.937421576433735e-07,667.3819531213437,1494.370442317472,50,2018-08-16
228,228.87806654864323,6318.507348554388,17409.925076603773,7.043718290511817e-16,64.7727099552666,258.22722344575874,134.24191959788294,552.4243313677586,-8.21008451016496e-05,29.01533434170897,117.54994742038974,50,2018-08-17
229,1366.5259807879277,2012.1926509958962,14640.744766811915,6.540521779129468e-16,37.845917441599774,53.38762815807633,1.8354833359285886e-07,147.67542644194876,238.4832961795062,8.81372658037238,56.932388965554594,50,2018-08-18
230,2046.1495621847332,1206.1266229820083,12406.33432145479,5.325773196283693e-16,13.709095714447802,273.2071555377422,294.67786356259876,592.2293490083297,-3.5711316990045815e-06,57.663528681658114,113.04876612472475,50,2018-08-19
231,273.607263297499,1000.1208853662391,4856.116767428203,3.957866067601949e-16,13.771215037244673,491.26060303193435,255.38708154728323,1050.9554750828993,7.434937660946161e-07,54.64013707474654,215.83061167793912,50,2018-08-20
232,153.11166041001167,3902.2558758826603,9482.927960072944,4.4057491012900393e-16,55.31755394536127,696.9478629449547,487.8555859937093,1643.3630464986554,1.10625515629863e-05,101.19151843573285,270.28634859239446,50,2018-08-21
233,590.524662630969,2964.9458073174924,13865.983733429262,7.617002787300967e-16,45.855087863612745,537.9292469631162,376.53281884862946,1268.3674666103218,-1.3408726328179909e-05,78.30274727016437,202.11899896090588,50,2018-08-22
234,24.731293251487187,9599.713497000806,10631.94801355168,4.3722581601285256e-16,69.82694892914411,5519.205728013194,3.678058019909894e-08,9317.648799136803,19.536451614172123,420.65966481846357,4230.795146938812,50,2018-08-23
235,170.3870591527732,3823.492026944207,9600.828224448314,4.812511994416035e-16,44.5738615093199,1196.4551018293707,599.1779439233177,2507.2748720454133,3.1715835228851575e-07,128.66874853161684,560.1381958672104,50,2018-08-24
236,241.6010585625442,1998.8227765404945,6178.013512652884,3.778501764416481e-16,21.50642421572123,1331.0160821502327,5.0905049353852345e-08,3785.5969338820937,0.649698869352056,230.64132889559303,1318.2646990828628,50,2018-08-25
