day_of_year,heating,cooling,heating_fans_pumps,cooling_fans_pumps,ceiling_fan,hot_water,pool_heater,hot_tub_heater,pool_pump,well_pump,time_of_shed
194,470.0335354750451,28922.482060998787,17.101422871712003,7205.111528796852,3229.171631373249,45338.52268953104,23.898330956181812,3597.964185577877,1388.7516729019546,7505.759820369099,21.0
195,637.2272273685439,25330.154104282763,37.7143265424,5980.521244263602,1391.8944850209457,40949.22457222422,906.6913447461425,1398.2854846756902,54558.843978610814,3050.8375400103328,11.0
196,564.6892311660871,23340.478826848306,28.978239603200002,5330.462138596971,1402.5983222743776,37575.375108683416,903.7470316313791,1395.4442225199437,54376.45005234444,3034.611081766212,10.75
197,2215.883367355161,9289.320952153963,264.98546846138476,2240.5852827163817,1542.80021739309,5557.161270211488,31.232576184095997,2868.5913863010323,1835.868428120212,1519.1274072621682,2.5
198,2646.7494996542277,8580.858877693461,326.5717821057817,2068.353812972079,1569.6280430460565,7385.408285722695,41.10125514842909,3501.8480524704687,2433.08568481469,1483.2904193138477,3.0
199,202.79498951403053,34894.70208562205,5.18509035894691,8705.07228092736,2912.6955502693236,37127.78760235022,23.479928566189088,3107.9564880437183,1361.4445246961934,7357.159659500144,21.5
200,21.185398237180365,54399.39535563454,0.0,13243.690172472965,3397.2775760703003,41584.00879452676,25.56225527564363,4062.593453701253,1488.4934757939407,7806.223535470345,20.75
201,242.82941542038327,35978.45502640678,4.397292895937455,8847.829045639966,3039.899755772434,36462.915405586944,23.767580209309084,3173.3682779843966,1378.1235258031013,7467.171643001766,21.5
202,102.73183034195273,41956.870505678875,6.4533726036123635,9681.88835049831,1387.2741410360838,33112.62955109034,901.3611694843694,1390.184555809077,54237.3014271311,3031.6670107824616,11.0
203,272.5662999126604,37917.05150762514,5.994679613101818,9395.263923986704,3299.253256877792,41671.05934881285,24.9627388881309,3782.4219155312353,1450.6815704534115,7844.976289287029,21.0
204,0.0,68613.8694361846,0.0,16307.290680295167,3421.856198319843,42407.754964733795,79.75098221919708,6496.317734848915,4771.72889450815,6717.817780931946,18.25
205,24.561188816624004,58365.04991504712,0.0,14174.013600913686,3718.728093552103,42249.123122302735,47.16828350813382,5746.494937646745,2799.5603188345094,7564.5170026214855,19.25
206,885.2402803617977,23102.220166981384,42.22648639077527,5695.323937941016,2799.286517085336,37892.21806669782,24.14821016131636,2973.940652890566,1400.1937191869895,7326.044032595195,21.75
207,2379.7295495715034,9282.510968994806,302.7265262675897,2235.6245025276253,1581.5080559069124,6992.017641935076,32.27567658692509,2967.4188056365556,1897.0071383744817,1574.5328909708785,2.5
208,5140.64343431702,6202.280903218487,726.1449991723797,1503.4104410950333,1575.6402529444797,6436.070308852492,41.369342605720725,3525.225317487262,2448.908074824771,1495.0019574160483,3.0
209,2972.699876728946,8372.894681614918,303.30986830345233,2030.0611807188814,1620.2177346164324,8468.72045121186,22.95111443439273,2600.150417730814,1330.782118620868,1951.1597393709324,1.25
210,3145.8932845606114,7400.984670623849,427.35377982844415,1779.8851229627317,1578.4087789440034,9146.050579137156,40.99103711143563,3491.6806806888358,2426.6033049157522,1478.3178715578726,3.0
211,898.4367111126495,21184.135766080006,62.241423312432005,5276.961257434374,2818.3470704072274,36859.39060477191,24.21503832082909,2980.3484080113813,1404.0686386360699,7346.409647862587,21.75
212,127.18280112158328,27499.17320782937,16.537741874082908,6518.632238424644,1540.407285020509,29299.824067558035,707.871177937043,1670.3345927451653,42616.87918628121,3015.8930954011275,13.0
213,361.3861539349498,24939.39193791691,28.408941166075643,5732.293469488264,1483.3797172313366,31945.240200151376,832.3123780277176,1418.132285822109,50091.91490559293,3053.13279673238,12.0
